chr	coord	gene_name	refseqID	rel_location	utr5_st	utr5_end	cds_st	cds_end	utr3_st	utr3_end	utr5_size	cds_size	utr3_size
chr1	55315669	DHCR24	ENST00000371269.3	2.86038461538462	3886	3788	3787	2237	2236	-363	98	1550	2599
chr1	78426153	FUBP1	ENST00000370767.1	1.69715447154472	1459	1372	1371	-596	-597	-1064	87	1967	467
chr1	78426153	FUBP1	ENST00000370768.2	1.70904392764858	1453	1372	1371	-563	-564	-924	81	1934	360
chr1	78426153	FUBP1	ENST00000436586.2	1.71821821821822	1491	1435	1434	-563	-564	-646	56	1997	82
chr1	89300165	PKN2	ENST00000370521.3	2.36836480228001	4347	3989	3988	1034	1033	-1773	358	2954	2806
chr1	94964343	ABCD3	ENST00000370214.4	1.74191919191919	1492	1469	1468	-511	-512	-2045	23	1979	1533
chr1	94964343	ABCD3	ENST00000394233.2	1.69030303030303	1240	1139	1138	-511	-512	-2045	101	1649	1533
chr1	94964343	ABCD3	ENST00000454898.2	1.7509746588694	1606	1541	1540	-511	-512	-662	65	2051	150
chr1	94964343	ABCD3	ENST00000536817.1	1.70982396365701	1495	1250	1249	-511	-512	-984	245	1760	472
chr1	100756967	RTCA	ENST00000260563.4	1.91842105263158	1173	1047	1046	-93	-94	-360	126	1139	266
chr1	100756967	RTCA	ENST00000370128.4	1.91553133514986	1176	1008	1007	-93	-94	-1358	168	1100	1264
chr1	113213328	CAPZA1	ENST00000263168.3	2.38601210490921	2106	1435	1434	574	573	-913	671	860	1486
chr1	113455393	SLC16A1	ENST00000369626.3	2.54794520547945	2985	2623	2622	1120	1119	-924	362	1502	2043
chr1	113455393	SLC16A1	ENST00000538576.1	2.54928886709171	3454	2623	2622	1120	1119	-919	831	1502	2038
chr1	150191135	ANP32E	ENST00000314136.8	2.81634446397188	3034	2665	2664	1858	1857	-418	369	806	2275
chr1	150191135	ANP32E	ENST00000369116.4	2.87148217636023	2594	2269	2268	1858	1857	-274	325	410	2131
chr1	150191135	ANP32E	ENST00000369119.3	2.86903648269411	2710	2521	2520	1858	1857	-280	189	662	2137
chr1	150547166	MCL1	ENST00000369026.2	2.95246541326712	3797	3738	3737	2685	2684	-134	59	1052	2818
chr1	150547590	MCL1	ENST00000369026.2	2.80205746718695	3373	3314	3313	2261	2260	-558	59	1052	2818
chr1	150549538	MCL1	ENST00000369026.2	2.11103228095069	1425	1366	1365	313	312	-2506	59	1052	2818
chr1	154232427	UBAP2L	ENST00000271877.7	1.78251467408094	2632	2533	2532	-704	-705	-794	99	3236	89
chr1	154232427	UBAP2L	ENST00000343815.6	1.84688346883469	2605	2500	2499	-452	-453	-805	105	2951	352
chr1	154232427	UBAP2L	ENST00000361546.2	1.76593137254902	2541	2500	2499	-764	-765	-1322	41	3263	557
chr1	154232427	UBAP2L	ENST00000428931.1	1.76593137254902	2666	2500	2499	-764	-765	-1321	166	3263	556
chr1	154235783	UBAP2L	ENST00000343815.6	2.43909348441926	3212	3107	3106	155	154	-198	105	2951	352
chr1	155106208	EFNA1	ENST00000368406.2	1.70833333333333	492	391	390	-161	-162	-951	101	551	789
chr1	155106208	EFNA1	ENST00000368407.3	1.73948220064725	974	457	456	-161	-162	-951	517	617	789
chr1	160259741	COPA	ENST00000241704.7	2.23303167420814	4110	3881	3880	206	205	-678	229	3674	883
chr1	160259741	COPA	ENST00000368069.3	2.23303167420814	3985	3908	3907	206	205	-678	77	3701	883
chr1	162756303	DDR2	ENST00000367922.3	2.87601341906626	9272	8835	8834	6267	6266	-887	437	2567	7153
chr1	166823415	POGK	ENST00000367875.1	2.92741141732283	5958	5599	5598	3769	3768	-295	359	1829	4063
chr1	166823415	POGK	ENST00000367876.4	2.42607313195548	3587	3438	3437	1608	1607	-2166	149	1829	3773
chr1	171540461	PRRC2C	ENST00000338920.4	1.78637331440738	6884	6648	6647	-1806	-1807	-3470	236	8453	1663
chr1	171540461	PRRC2C	ENST00000367742.3	1.78652482269504	6895	6654	6653	-1806	-1807	-3470	241	8459	1663
chr1	182841538	DHX9	ENST00000367549.3	1.42591135588775	1733	1624	1623	-2189	-2190	-2506	109	3812	316
chr1	183072711	LAMC1	ENST00000258341.4	1.13809523809524	923	667	666	-4163	-4164	-6965	256	4829	2801
chr1	205685738	NUCKS1	ENST00000367142.4	2.30580479765611	2704	2402	2401	1670	1669	-3791	302	731	5460
chr1	211836679	NEK2	ENST00000366999.4	2.13608562691131	1565	1427	1426	89	88	-565	138	1337	653
chr1	211836679	NEK2	ENST00000540251.1	2.31010452961672	1442	1298	1297	89	88	-198	144	1208	286
chr1	215781434	KCTD3	ENST00000259154.4	1.56576797385621	1678	1385	1384	-1063	-1064	-2252	293	2447	1188
chr1	220312394	IARS2	ENST00000302637.5	1.73050345508391	2323	2220	2219	-819	-820	-1218	103	3038	398
chr1	220312394	IARS2	ENST00000366922.1	1.70988310308183	2334	2004	2003	-819	-820	-1222	330	2822	402
chr1	225589589	LBR	ENST00000272163.4	2.78622987229317	3359	3264	3263	1416	1415	-385	95	1847	1800
chr1	225589589	LBR	ENST00000338179.2	2.78666666666667	3389	3264	3263	1416	1415	-384	125	1847	1799
chr1	227216947	CDC42BPA	ENST00000334218.5	1.69921436588103	4680	3738	3737	-1608	-1609	-6010	942	5345	4401
chr1	227216947	CDC42BPA	ENST00000366764.2	1.71985815602837	4596	3654	3653	-1422	-1423	-5824	942	5075	4401
chr1	227216947	CDC42BPA	ENST00000366765.3	1.7264858626659	4308	3777	3776	-1422	-1423	-1423	531	5198	0
chr1	227216947	CDC42BPA	ENST00000366766.2	1.72991452991453	4785	3843	3842	-1422	-1423	-5824	942	5264	4401
chr1	227216947	CDC42BPA	ENST00000366769.3	1.72441860465116	5029	3738	3737	-1422	-1423	-5825	1291	5159	4402
chr1	227216947	CDC42BPA	ENST00000535525.1	1.72117647058824	3704	3678	3677	-1422	-1423	-1453	26	5099	30
chr1	241796714	CHML	ENST00000366553.1	2.07768561602266	2518	2355	2354	384	383	-4559	163	1970	4942
chr10	1090038	IDI1	ENST00000381344.3	1.25029239766082	380	214	213	-641	-642	-1920	166	854	1278
chr10	3154465	PFKP	ENST00000381075.2	1.47919347919348	1340	1117	1116	-1214	-1215	-1428	223	2330	213
chr10	3154465	PFKP	ENST00000381125.4	1.48450106157113	1216	1141	1140	-1214	-1215	-1428	75	2354	213
chr10	28909818	WAC	ENST00000375664.4	2.36594409583571	3700	3092	3091	1283	1282	-2223	608	1808	3505
chr10	51580654	NCOA4	ENST00000344348.6	1.13008130081301	379	240	239	-1605	-1606	-3107	139	1844	1501
chr10	51580654	NCOA4	ENST00000374082.1	1.13888888888889	319	240	239	-1488	-1489	-2973	79	1727	1484
chr10	51580654	NCOA4	ENST00000374087.4	1.13008130081301	323	240	239	-1605	-1606	-3107	83	1844	1501
chr10	51580654	NCOA4	ENST00000430396.2	1.01877022653722	188	29	28	-1516	-1517	-1935	159	1544	418
chr10	51580654	NCOA4	ENST00000438493.1	1.15213946117274	539	288	287	-1605	-1606	-3106	251	1892	1500
chr10	51580654	NCOA4	ENST00000443446.1	1.13008130081301	468	240	239	-1605	-1606	-3106	228	1844	1500
chr10	51580654	NCOA4	ENST00000452682.1	1.14746543778802	539	288	287	-1665	-1666	-3195	251	1952	1529
chr10	72181785	EIF4EBP2	ENST00000373218.4	2.04104206083539	667	645	644	282	281	-6589	22	362	6870
chr10	73576420	PSAP	ENST00000394934.1	2.68245614035088	2462	2359	2358	778	777	-362	103	1580	1139
chr10	73576420	PSAP	ENST00000394936.3	2.68066491688539	2500	2353	2352	778	777	-365	147	1574	1142
chr10	88810643	GLUD1	ENST00000277865.4	2.68379446640316	2638	2542	2541	865	864	-400	96	1676	1264
chr10	88810643	GLUD1	ENST00000537649.1	2.68596352101507	2587	2041	2040	865	864	-396	546	1175	1260
chr10	95111582	MYOF	ENST00000371501.4	1.56627869382477	3625	3503	3502	-2683	-2684	-3216	122	6185	532
chr10	95111582	MYOF	ENST00000371502.4	1.5690383365822	3625	3503	3502	-2653	-2654	-3186	122	6155	532
chr10	120819167	EIF3A	ENST00000369144.3	1.3350204868643	1517	1390	1389	-2759	-2760	-3954	127	4148	1194
chr10	120819167	EIF3A	ENST00000541549.1	1.31826043983197	1480	1288	1287	-2759	-2760	-3005	192	4046	245
chr10	120832492	EIF3A	ENST00000369144.3	1.10870089178115	578	451	450	-3698	-3699	-4893	127	4148	1194
chr10	120832492	EIF3A	ENST00000541549.1	1.08623671855696	541	349	348	-3698	-3699	-3944	192	4046	245
chr10	131943578	GLRX3	ENST00000331244.5	1.19444444444444	217	196	195	-812	-813	-1044	21	1007	231
chr10	131943578	GLRX3	ENST00000368644.1	1.19444444444444	217	196	195	-812	-813	-1104	21	1007	291
chr11	9450121	IPO7	ENST00000379719.3	1.43952518447225	1511	1370	1369	-1747	-1748	-4679	141	3116	2931
chr11	9467822	IPO7	ENST00000379719.3	2.36869031377899	4339	4198	4197	1081	1080	-1851	141	3116	2931
chr11	10801090	CTR9	ENST00000361367.2	2.68652037617555	4385	3960	3959	438	437	-200	425	3521	637
chr11	12964732	TEAD1	ENST00000361905.4	2.79200425023243	7863	7199	7198	5963	5962	-1566	664	1235	7528
chr11	12964732	TEAD1	ENST00000361985.2	2.88721916381491	7397	7244	7243	5963	5962	-758	153	1280	6720
chr11	12964732	TEAD1	ENST00000526600.1	2.8212367442501	7178	6956	6955	5963	5962	-1298	222	992	7260
chr11	14539226	PSMA1	ENST00000396394.2	1.27272727272727	612	216	215	-576	-577	-892	396	791	315
chr11	14539226	PSMA1	ENST00000418988.2	1.28888888888889	561	234	233	-576	-577	-704	327	809	127
chr11	14539226	PSMA1	ENST00000419365.2	1.43636363636364	260	216	215	-279	-280	-960	44	494	680
chr11	14539226	PSMA1	ENST00000530457.1	1.19665271966527	671	141	140	-576	-577	-855	530	716	278
chr11	14539226	PSMA1	ENST00000555531.1	1.43636363636364	260	216	215	-279	-280	-960	44	494	680
chr11	58387599	ZFP91	ENST00000316059.6	2.72541966426859	4303	4133	4132	2420	2419	-916	170	1712	3335
chr11	60609707	CCDC86	ENST00000227520.5	1.10156971375808	163	110	109	-973	-974	-1729	53	1082	755
chr11	62609190	WDR74	ENST00000525239.1	0.171003717472119	91	-446	-447	-1604	-1605	-1644	537	1157	39
chr11	63392889	ATL3	ENST00000398868.3	2.74579510703364	5804	5528	5527	3902	3901	-1330	276	1625	5231
chr11	63525810	RTN3	ENST00000339997.4	2.0810650887574	3332	3179	3178	137	136	-1553	153	3041	1689
chr11	63525810	RTN3	ENST00000341307.2	2.0392034847542	979	789	788	63	62	-1544	190	725	1606
chr11	63525810	RTN3	ENST00000354497.4	1.91782945736434	655	592	591	-53	-54	-751	63	644	697
chr11	63525810	RTN3	ENST00000356000.3	2.08233173076923	1091	905	904	137	136	-1527	186	767	1663
chr11	63525810	RTN3	ENST00000377819.5	2.08135391923991	3389	3236	3235	137	136	-1547	153	3098	1683
chr11	63525810	RTN3	ENST00000537981.1	2.08135391923991	984	848	847	137	136	-1547	136	710	1683
chr11	63525810	RTN3	ENST00000540798.1	2.62272727272727	3040	2900	2899	137	136	-83	140	2762	219
chr11	64532467	SF1	ENST00000227503.9	2.54127358490566	2460	2106	2105	459	458	-389	354	1646	847
chr11	64532467	SF1	ENST00000334944.5	2.50319284802043	2704	2311	2310	394	393	-389	393	1916	782
chr11	64532467	SF1	ENST00000377387.1	2.54127358490566	2557	2481	2480	459	458	-389	76	2021	847
chr11	64532467	SF1	ENST00000377390.3	2.67904290429043	3080	2743	2742	823	822	-389	337	1919	1211
chr11	64532467	SF1	ENST00000377394.3	2.50319284802043	2464	2110	2109	394	393	-389	354	1715	782
chr11	66638908	PC	ENST00000355677.3	1.22955974842767	458	365	364	-1225	-1226	-1255	93	1589	29
chr11	66638908	PC	ENST00000393955.2	1.10319479785129	445	365	364	-3172	-3173	-3558	80	3536	385
chr11	66638908	PC	ENST00000393958.2	1.10319479785129	458	365	364	-3172	-3173	-3546	93	3536	373
chr11	66638908	PC	ENST00000393960.1	1.10319479785129	646	365	364	-3172	-3173	-3545	281	3536	372
chr11	66638908	PC	ENST00000524491.1	1.16666666666667	458	245	244	-1225	-1226	-1255	213	1469	29
chr11	67351292	GSTP1	ENST00000398603.1	0.784313725490196	79	-22	-23	-547	-548	-620	101	524	72
chr11	67351292	GSTP1	ENST00000398606.3	0.911646586345382	226	-22	-23	-655	-656	-738	248	632	82
chr11	71724087	NUMA1	ENST00000358965.6	1.70758008246115	4719	4462	4461	-1844	-1845	-2507	257	6305	662
chr11	71724087	NUMA1	ENST00000393695.3	1.70289855072464	4793	4462	4461	-1886	-1887	-2549	331	6347	662
chr11	71943359	INPPL1	ENST00000298229.2	1.44770982261054	1894	1691	1690	-2086	-2087	-2838	203	3776	751
chr11	71943359	INPPL1	ENST00000538751.1	1.3162897410685	1817	965	964	-2086	-2087	-2838	852	3050	751
chr11	71943359	INPPL1	ENST00000541756.1	1.3162897410685	1894	965	964	-2086	-2087	-2838	929	3050	751
chr11	94607530	AMOTL1	ENST00000317829.8	2.59969763144633	6460	6291	6290	3570	3569	-2383	169	2720	5952
chr11	94607530	AMOTL1	ENST00000317837.9	2.59919436052367	5371	5202	5201	3570	3569	-2388	169	1631	5957
chr11	94607530	AMOTL1	ENST00000433060.2	2.59919436052367	6581	6441	6440	3570	3569	-2388	140	2870	5957
chr11	102249246	BIRC2	ENST00000227758.2	2.68172484599589	3587	2189	2188	332	331	-155	1398	1856	486
chr11	102249246	BIRC2	ENST00000532672.1	2.68312757201646	2462	2126	2125	332	331	-154	336	1793	485
chr11	118279855	ATP5L	ENST00000300688.3	2.05622489959839	865	354	353	42	41	-705	511	311	746
chr11	118657052	DDX6	ENST00000264018.4	0.702614379084967	214	-91	-92	-1543	-1544	-4323	305	1451	2779
chr11	118657052	DDX6	ENST00000526070.2	0.74792243767313	269	-91	-92	-1543	-1544	-1666	360	1451	122
chr11	118657052	DDX6	ENST00000534980.1	0.688356164383562	200	-91	-92	-1543	-1544	-2340	291	1451	796
chr12	2913076	FKBP4	ENST00000001008.4	2.93142857142857	2218	2032	2031	652	651	-48	186	1379	699
chr12	8072002	SLC2A3	ENST00000075120.7	2.91937700412277	3738	3498	3497	2007	2006	-176	240	1490	2182
chr12	9093901	M6PR	ENST00000000412.3	2.35306262904336	1815	1347	1346	513	512	-940	468	833	1452
chr12	20833588	PDE3A	ENST00000359062.3	2.09318734793187	3848	3809	3808	383	382	-3727	39	3425	4109
chr12	26223524	RASSF8	ENST00000405154.2	2.43766971118242	3231	3033	3032	1773	1772	-2278	198	1259	4050
chr12	26223524	RASSF8	ENST00000541490.1	2.43745373797187	3224	3033	3032	1773	1772	-2280	191	1259	4052
chr12	27872743	MRPS35	ENST00000081029.3	1.33333333333333	394	324	323	-648	-649	-1493	70	971	844
chr12	27872743	MRPS35	ENST00000538315.1	1.55384615384615	332	324	323	-261	-262	-1382	8	584	1120
chr12	44189230	TWF1	ENST00000325127.4	2.08494623655914	1340	1313	1312	158	157	-1702	27	1154	1859
chr12	44189230	TWF1	ENST00000395510.2	2.08485499462943	1340	1211	1210	158	157	-1704	129	1052	1861
chr12	44189230	TWF1	ENST00000552521.1	2.08485499462943	1307	917	916	158	157	-1704	390	758	1861
chr12	46637082	SLC38A1	ENST00000398637.5	0.723741007194245	502	-192	-193	-1656	-1657	-7563	694	1463	5906
chr12	46637082	SLC38A1	ENST00000439706.1	0.760896637608966	610	-192	-193	-1656	-1657	-2825	802	1463	1168
chr12	46637082	SLC38A1	ENST00000546893.1	0.585313174946004	270	-192	-193	-1656	-1657	-2061	462	1463	404
chr12	46637082	SLC38A1	ENST00000552197.1	0.71970802919708	492	-192	-193	-1704	-1705	-2106	684	1511	401
chr12	53837226	PRR13	ENST00000429243.2	1.15883668903803	278	71	70	-376	-377	-950	207	446	573
chr12	53837226	PCBP2	ENST00000541275.1	0.260473588342441	142	-406	-407	-1312	-1313	-1428	548	905	115
chr12	53837226	PRR13	ENST00000547368.1	1.23108384458078	152	113	112	-376	-377	-535	39	488	158
chr12	53837226	PRR13	ENST00000549135.1	1.15883668903803	122	71	70	-376	-377	-632	51	446	255
chr12	53837226	PRR13	ENST00000549740.1	1.15570175438596	136	71	70	-385	-386	-649	65	455	263
chr12	53837226	PRR13	ENST00000549924.1	1.15883668903803	213	71	70	-376	-377	-411	142	446	34
chr12	54633388	CBX5	ENST00000209875.4	2.19889042995839	2863	2727	2726	2151	2150	-8664	136	575	10814
chr12	56365620	CDK2	ENST00000266970.4	2.18205349439172	1347	1108	1107	211	210	-948	239	896	1158
chr12	56365620	CDK2	ENST00000354056.4	2.73519163763066	1183	1006	1005	211	210	-76	177	794	286
chr12	56365620	CDK2	ENST00000553376.1	2.42540322580645	1439	1252	1251	211	210	-285	187	1040	495
chr12	56435822	RPS26	ENST00000356464.5	0.592356687898089	185	-128	-129	-476	-477	-654	313	347	177
chr12	56435822	RPS26	ENST00000552361.1	0.70873786407767	145	-60	-61	-408	-409	-477	205	347	68
chr12	64842289	XPOT	ENST00000332707.5	2.12616822429907	3795	3267	3266	378	377	-2618	528	2888	2995
chr12	65108118	GNS	ENST00000258145.3	2.72995139732685	4232	4062	4061	2403	2402	-889	170	1658	3291
chr12	65108118	GNS	ENST00000418919.2	2.72906553398058	3983	3894	3893	2403	2402	-893	89	1490	3295
chr12	93896256	MRPL42	ENST00000361630.2	2.87735191637631	1865	1688	1687	1259	1258	-176	177	428	1434
chr12	93896256	MRPL42	ENST00000393128.4	2.87980433263452	1810	1679	1678	1259	1258	-172	131	419	1430
chr12	93896256	MRPL42	ENST00000549982.1	2.49411302982732	1848	1688	1687	1259	1258	-1289	160	428	2547
chr12	101789149	ARL1	ENST00000261636.8	2.10674603174603	989	815	814	269	268	-2251	174	545	2519
chr12	101789149	ARL1	ENST00000536227.1	2.38649425287356	894	764	763	269	268	-427	130	494	695
chr12	101789149	ARL1	ENST00000539055.1	2.37257617728532	777	677	676	269	268	-453	100	407	721
chr12	101789188	ARL1	ENST00000261636.8	2.09126984126984	950	776	775	230	229	-2290	174	545	2519
chr12	101789188	ARL1	ENST00000536227.1	2.33045977011494	855	725	724	230	229	-466	130	494	695
chr12	101789188	ARL1	ENST00000539055.1	2.3185595567867	738	638	637	230	229	-492	100	407	721
chr12	107366516	C12orf23	ENST00000280756.4	2.51947551099113	2115	1698	1697	1347	1346	-1246	417	350	2592
chr12	107366516	C12orf23	ENST00000548125.1	2.50926275992439	2050	1698	1697	1347	1346	-1298	352	350	2644
chr12	110929516	VPS29	ENST00000360579.7	2.60995850622407	902	855	854	294	293	-188	47	560	481
chr12	110929516	VPS29	ENST00000447578.2	2.77368421052632	909	558	557	294	293	-86	351	263	379
chr12	110929516	VPS29	ENST00000546588.1	2.93630573248408	1038	939	938	294	293	-20	99	644	313
chr12	110929516	VPS29	ENST00000549578.1	2.32378854625551	908	843	842	294	293	-614	65	548	907
chr12	110929516	VPS29	ENST00000552130.2	2.77165354330709	969	558	557	294	293	-87	411	263	380
chr12	112947012	PTPN11	ENST00000351677.2	2.82892501819947	5395	5198	5197	3416	3415	-705	197	1781	4120
chr12	113714774	TPCN1	ENST00000335509.6	1.40514075887393	1306	993	992	-1458	-1459	-3967	313	2450	2508
chr12	113714774	TPCN1	ENST00000392569.4	1.35113484646195	981	789	788	-1458	-1459	-1576	192	2246	117
chr12	113714774	TPCN1	ENST00000541517.1	1.4533183352081	1210	1209	1208	-1458	-1459	-3964	1	2666	2505
chr12	113714774	TPCN1	ENST00000550785.1	1.4533183352081	1377	1209	1208	-1458	-1459	-3967	168	2666	2508
chr12	118471953	WSB2	ENST00000315436.3	2.03723816912335	1404	1263	1262	48	47	-1241	141	1214	1288
chr12	118471953	WSB2	ENST00000441406.2	2.64	1325	1314	1313	48	47	-27	11	1265	74
chr12	118471953	WSB2	ENST00000542304.1	2.125	1082	588	587	48	47	-336	494	539	383
chr12	123745790	CDK2AP1	ENST00000261692.2	2.65298013245033	1362	841	840	493	492	-262	521	347	754
chr12	123745790	CDK2AP1	ENST00000535979.1	2.67257844474761	1040	757	756	493	492	-240	283	263	732
chr12	123745790	CDK2AP1	ENST00000538446.1	2.67257844474761	920	757	756	493	492	-240	163	263	732
chr12	123745790	CDK2AP1	ENST00000542174.1	2.68093922651934	1580	757	756	493	492	-231	823	263	723
chr12	124497242	ZNF664	ENST00000337815.4	1.70101781170483	1499	551	550	-235	-236	-2727	948	785	2491
chr12	124497242	ZNF664	ENST00000392404.3	1.70101781170483	1530	551	550	-235	-236	-2731	979	785	2495
chr12	124497242	ZNF664	ENST00000538932.2	1.70101781170483	1576	551	550	-235	-236	-2744	1025	785	2508
chr12	124497242	ZNF664	ENST00000539644.1	1.70101781170483	2380	551	550	-235	-236	-2727	1829	785	2491
chr13	53049716	CKAP2	ENST00000258607.5	2.36423841059603	2606	2489	2488	440	439	-768	117	2048	1207
chr13	53049716	CKAP2	ENST00000378037.5	2.29589778076664	2581	2492	2491	440	439	-1047	89	2051	1486
chr13	53049716	CKAP2	ENST00000490903.1	2.36423841059603	2626	2345	2344	440	439	-768	281	1904	1207
chr13	114294662	TFDP1	ENST00000375370.5	2.0665004156276	1524	1313	1312	80	79	-1123	211	1232	1202
chr13	114294662	TFDP1	ENST00000538138.1	2.61068702290076	1275	1016	1015	80	79	-51	259	935	130
chr13	114294762	TFDP1	ENST00000375370.5	2.14962593516209	1624	1413	1412	180	179	-1023	211	1232	1202
chr14	23299145	MRPL52	ENST00000311892.6	0.102941176470588	20	-183	-184	-342	-343	-1021	203	158	678
chr14	23299145	MRPL52	ENST00000355151.5	1.06451612903226	53	24	23	-348	-349	-1064	29	371	715
chr14	23299145	MRPL52	ENST00000397496.3	1.0650406504065	49	24	23	-345	-346	-1061	25	368	715
chr14	23299145	MRPL52	ENST00000432849.3	1.07207207207207	33	24	23	-309	-310	-377	9	332	67
chr14	23299145	MRPL52	ENST00000553711.1	0.0844686648501362	30	-336	-337	-531	-532	-555	366	194	23
chr14	23299145	MRPL52	ENST00000555345.1	0.138157894736842	41	-262	-263	-457	-458	-853	303	194	395
chr14	23299145	MRPL52	ENST00000556840.1	0.0903954802259887	15	-161	-162	-356	-357	-382	176	194	25
chr14	23299145	MRPL52	ENST00000557221.1	0.0888030888030888	22	-236	-237	-392	-393	-899	258	155	506
chr14	23299145	MRPL52	ENST00000311892.6	0.102941176470588	20	-183	-184	-342	-343	-1021	203	158	678
chr14	23299145	MRPL52	ENST00000355151.5	1.06451612903226	53	24	23	-348	-349	-1064	29	371	715
chr14	23299145	MRPL52	ENST00000397496.3	1.0650406504065	49	24	23	-345	-346	-1061	25	368	715
